Name_EN,Address_EN,Latitude,Longitude,Facility_Type
The Family Planning Association of Hong Kong – Ma Tau Chung Clinic,"1/F & 2/F, 105 Ma Tau Chung Road, Kowloon",22.32435488,114.18834,ClinicsregisteredunderCap343
The Family Planning Association of Hong Kong – Tsuen Wan Clinic,"Room 1621-1622, 16/F, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories",22.37403949,114.1163447,ClinicsregisteredunderCap343
The Family Planning Association of Hong Kong – Wan Chai Clinic,"G/F, 8/F & 9/F (Sexual & Reproductive Health Centre), Southorn Centre, 130 Hennessy Road, Wan Chai, Hong Kong",22.27743849,114.173116,ClinicsregisteredunderCap343
The Family Planning Association of Hong Kong – Wong Tai Sin Clinic,"G/F, 1-2 Lung On House, Lower Wong Tai Sin Estate II, Kowloon",22.3415037,114.193012,ClinicsregisteredunderCap343
The Family Planning Association of Hong Kong – Youth Health Care Centre – Mongkok Centre,"Room A, 13/F, Full Win Commercial Centre, 573 Nathan Road, Kowloon",22.31507107,114.1701119,ClinicsregisteredunderCap343
The Family Planning Association of Hong Kong – Yuen Long Clinic,"Unit 5-6, 3/F, Tower 1, One North, 8 Hong Yip Street, Yuen Long, New Territories",22.45081514,114.0297939,ClinicsregisteredunderCap343
The Hong Kong and China Gas Company Limited Clinic,"11/F, 363 Java Road, North Point, Hong Kong",22.29154178,114.2096003,ClinicsregisteredunderCap343
The Islamic Union Medical Clinic,"7/F, 40 Oi Kwan Road, Wan Chai, Hong Kong",22.27765429,114.1787839,ClinicsregisteredunderCap343
TWGHs Integrated Diagnostic and Medical Centre,"TWGHs Integrated Diagnostic and Medical Centre, 5/F, TWGHs Tsui Tsin Tong Outpatient Building, Kwong Wah Hospital, 25 Waterloo Road, Kowloon",22.31558278,114.1717904,ClinicsregisteredunderCap343
TWGHs K B Tam & W K Li Medical Centre (North Point),"Flat B, 11/F, China United Centre, 28 Marble Road, North Point, Hong Kong",22.29172492,114.2005723,ClinicsregisteredunderCap343
UCN – Bradbury Kwong Tin Community Health Centre,"Area A, Unit 203, Kwong Tin Shopping Centre, Kwong Tin Estate, Lam Tin, Kowloon",22.30299514,114.2399593,ClinicsregisteredunderCap343
UCN – Jockey Club Tin Shui Wai Community Health Centre,"Area A, Unit 103, 1/F, Tin Ching Amenity and Community Building, Tin Ching Estate, Tin Shui Wai, New Territories",22.46356843,114.0045482,ClinicsregisteredunderCap343
UCN – Jockey Club Wo Lok Community Health Centre,"Area A, Unit 24, 26-33 & 35, G/F & LG/F, Kui On House, Wo Lok Estate, Hip Wo Street, Kwun Tong, Kowloon",22.31652812,114.2280118,ClinicsregisteredunderCap343
UCN – Kwong Fuk Community Health Centre,"Unit A, Unit 19, G/F, Kwong Yan House, Kwong Fuk Estate, Tai Po, New Territories",22.44867297,114.1752106,ClinicsregisteredunderCap343
UCN Jordan Health Centre,"13/F, Sino Cheer Plaza, 23 Jordan Road, Kowloon",22.30577009,114.1708036,ClinicsregisteredunderCap343
"University Health Service, The Hong Kong Polytechnic University","University Health Service, The Hong Kong Polytechnic University, G/F and 1/F (A125h, A125i, A125j), 1 Yuk Choi Road, Hung Hom, Kowloon",22.30343399,114.1777221,ClinicsregisteredunderCap343
"Clinic of the Association of the Natives of Tung Koon, Shatin","1/F, 6 Portland Street, Kowloon",22.31206989,114.1703574,ClinicsregisteredunderCap343
On On Clinic,"G/F, 30 Shung Wah Street, Fung Wong Village, Kowloon",22.34624883,114.1981517,ClinicsregisteredunderCap343
Po Chai Church Clinic,"G/F, 75 First Street, Sai Ying Pun, Hong Kong",22.28664863,114.1420045,ClinicsregisteredunderCap343
Wood Man Church Clinic,"Flat B, 1/F, Hong Ning Mansion, 56-58 Nga Tsin Wai Road, Kowloon",22.32907652,114.1906922,ClinicsregisteredunderCap343
