Name_EN,Address_EN,Latitude,Longitude,Facility_Type
Queen Mary Hospital,"102 Pokfulam Road, HK",22.2704,114.13117,HospitalAuthorityHospitalInstitutionList
Siu Lam Hospital,"15 Tsing Chung Koon Road, Tuen Mun, N.T.",22.41005,113.97487,HospitalAuthorityHospitalInstitutionList
Shatin Hospital,"33 A Kung Kok Street, Ma On Shan, Shatin, NT",22.398115,114.21263,HospitalAuthorityHospitalInstitutionList
North Lantau Hospital,"8 Chung Yan Road, Tung Chung, Lantau Island",22.282571,113.93914,HospitalAuthorityHospitalInstitutionList
Pamela Youde Nethersole Eastern Hospital,"3 Lok Man Road, Chai Wan, HK",22.26918,114.23643,HospitalAuthorityHospitalInstitutionList
Our Lady of Maryknoll Hospital,"118 Shatin Pass Road, Wong Tai Sin, KLN",22.345588,114.19657,HospitalAuthorityHospitalInstitutionList
Prince of Wales Hospital,"30-32 Ngan Shing Street, Shatin, NT",22.379939,114.20129,HospitalAuthorityHospitalInstitutionList
Pok Oi Hospital,"Au Tau, Yuen Long, NT",22.44523,114.04159,HospitalAuthorityHospitalInstitutionList
Kowloon Hospital,"147A Argyle Street, KLN",22.323708,114.17957,HospitalAuthorityHospitalInstitutionList
MacLehose Medical Rehabilitation Centre,"7 Sha Wan Drive, Pokfulam, HK",22.269795,114.12399,HospitalAuthorityHospitalInstitutionList
North District Hospital,"9 Po Kin Road, Sheung Shui, NT",22.496832,114.12456,HospitalAuthorityHospitalInstitutionList
Hong Kong Red Cross Blood Transfusion Service,"15 King's Park Rise, KLN",22.310794,114.17443,HospitalAuthorityHospitalInstitutionList
Hong Kong Buddhist Hospital,"10 Heng Lam Street, Lok Fu, KLN",22.33568,114.18874,HospitalAuthorityHospitalInstitutionList
Hong Kong Children's Hospital,"1 Shing Cheong Road, Kowloon Bay, KLN",22.315757,114.20886,HospitalAuthorityHospitalInstitutionList
Hong Kong Eye Hospital,"147K Argyle Street, KLN",22.324927,114.18462,HospitalAuthorityHospitalInstitutionList
Bradbury Hospice,"17 A Kung Kok Shan Road, Shatin, NT",22.398512,114.2151,HospitalAuthorityHospitalInstitutionList
Caritas Medical Centre,"111 Wing Hong Street, Sham Shui Po, KLN",22.340629,114.15231,HospitalAuthorityHospitalInstitutionList
"Cheshire Home, Shatin","30 A Kung Kok Shan Road, Shatin, NT",22.39918,114.21653,HospitalAuthorityHospitalInstitutionList
Grantham Hospital,"125 Wong Chuk Hang Road, Aberdeen, HK",22.251156,114.17316,HospitalAuthorityHospitalInstitutionList
Castle Peak Hospital,"15 Tsing Chung Koon Road, Tuen Mun, NT",22.410011,113.97374,HospitalAuthorityHospitalInstitutionList
"Cheshire Home, Chung Hom Kok","128 Chung Hom Kok Road, HK",22.212024,114.1973,HospitalAuthorityHospitalInstitutionList
Alice Ho Miu Ling Nethersole Hospital,"11 Chuen On Road, Tai Po, NT",22.458696,114.17479,HospitalAuthorityHospitalInstitutionList
