Name_EN,Address_EN,Latitude,Longitude,Facility_Type
CONRAD CARE HOME (YAU TONG) LIMITED,"SHOP NOS. G5-G9 ON G/F AND SHOP NO. G9A ON 1/F, KA WING ARCADE(BLOCK T1), YAU TONG CENTRE, 6 KA WING STREET, KOWLOON",22.29534109,114.23829827,LocationofResidentialCareHomesfortheElderlyinHongKong
HIU KWONG (TAI KOK TSUI) NURSING CENTRE COMPANY LIMITED,"N1, N2 & N3 OF 1/F AND 10A & 10B OF G/F, TAI YING BLDG., COSMOPOLITAN ESTATE, 50-52 WONG TAI STREET, TAI KOK TSUI, KOWLOON",22.32170897,114.16017477,LocationofResidentialCareHomesfortheElderlyinHongKong
TSZ HAU HOME OF AGED,"ROOMS A, B AND C ON 1/F AND ROOMS A, E, F AND G ON 3/F, YEN HAU MANSION, 94-110 TING FU STREET, NGAU TAU KOK, KOWLOON",22.31638759,114.21719208,LocationofResidentialCareHomesfortheElderlyinHongKong
TELFORD HOME FOR THE ELDERLY LIMITED,"FLATS A AND B, 1/F, 36 TING YIP STREET, NGAU TAU KOK, KOWLOON",22.31817599,114.21580465,LocationofResidentialCareHomesfortheElderlyinHongKong
CHUNG SHUN HOME OF AGED,"FLAT A, B, C, 5/F AND FLAT A, D, E, F, G, 6/F, SHIU KING BUILDING, 2-8 ON WAH STREET, NGAU TAU KOK, KOWLOON",22.32238404,114.21665997,LocationofResidentialCareHomesfortheElderlyinHongKong
HING WAH ELDERLY HOME,"SHOP B6-B14, C5-C7, C11-C15, G/F, SHUI NING HOUSE, 24-50 SHUI NING STREET, KWUN TONG, KOWLOON",22.31728873,114.22427759,LocationofResidentialCareHomesfortheElderlyinHongKong
THE HKCCCU KWONG YUM CARE HOME (INTEGRATED AGED CARE SERVICE),"88, KUNG LOK ROAD, KWUN TONG, KOWLOON",22.31859894,114.22155067,LocationofResidentialCareHomesfortheElderlyinHongKong
CONRAD CARE HOME (KOWLOON BAY) LIMITED,"SHOP C ON G/F, 1/F AND 2/F, ON TAK BUILDING, 44-54 TING YIP STREET, KOWLOON",22.31834763,114.21556206,LocationofResidentialCareHomesfortheElderlyinHongKong
NEW HONG TAT ELDERLY CARE CENTRE,"UNIT EH02, G/F, SHUN TIN MARKET, SHUN TIN ESTATE, KWUN TONG, KOWLOON",22.32595,114.22507,LocationofResidentialCareHomesfortheElderlyinHongKong
PLEASANT HOME,"123 TING FU STREET, SHOPS F & G, G/F AND 1/F & 2/F, 25-35 TING ON STREET, NGAU TAU KOK, KOWLOON",22.31663149,114.21688157,LocationofResidentialCareHomesfortheElderlyinHongKong
LONGEVITY PALACE - RAINBOW VILLA LIMITED,"PODIUM UNIT 4, CARPARK BUILDING, CHOI HA ESTATE, 18 CHOI HA ROAD, KOWLOON",22.32541,114.21733,LocationofResidentialCareHomesfortheElderlyinHongKong
ALTRU NURSING HOME,"4/F, ANCILLARY FACILITIES BLOCK, SAU MAU PING ESTATE, KWUN TONG, KOWLOON",22.31816136,114.23457582,LocationofResidentialCareHomesfortheElderlyinHongKong
TOUCH HOME FOR THE ELDERLY LIMITED,"1/F AND 2/F, COMFORT MANSION, 888 CANTON ROAD, KOWLOON",22.31462239,114.16825575,LocationofResidentialCareHomesfortheElderlyinHongKong
HYGGE LIVING,"G/F (PORTION), 3/F AND 5/F, NO.8 LEE KUNG STREET, HUNG HOM, KOWLOON",22.30929004,114.18648266,LocationofResidentialCareHomesfortheElderlyinHongKong
Wo Shun Elderly Home,"SHOP 2A (PART) OF G/F, 1/F-2/F, MAN YU BUILDING, NO. 2-14 TAI FUNG STREET, YUEN LONG, NEW TERRITORIES",22.4457779,114.03018209,LocationofResidentialCareHomesfortheElderlyinHongKong
HIU KWONG NURSING CENTRE COMPANY LIMITED,"SHOP NO. 1 ON 1/F AND SHOP NO. 1-12, 14-36 ON 2/F, 26-38 HIU KWONG STREET, KWUN TONG, KOWLOON",22.31773824,114.23076125,LocationofResidentialCareHomesfortheElderlyinHongKong
HONG LING NURSING CENTRE,"PORTIONS C AND D, 3/F, 26 TO 38 HIU KWONG STREET, KWUN TONG, KOWLOON",22.31784658,114.23083894,LocationofResidentialCareHomesfortheElderlyinHongKong
TANG TAT HOME AGED,"1/F AND 2/F, EXCELSIOR BUILDING, 364 NATHAN ROAD, KOWLOON",22.30734387,114.17169181,LocationofResidentialCareHomesfortheElderlyinHongKong
