Name,Type,District,Lat_WGS84,Lon_WGS84,Easting_HK1980,Northing_HK1980
HONG NGA RESIDENTIAL CARE HOME (4),Location of Residential Care Homes for the Elderly in Hong Kong,WAN CHAI,22.2766037,114.17622424,836200.5999999996,815304.5999999996
SUNY ELDERLY HOME,Location of Residential Care Homes for the Elderly in Hong Kong,WAN CHAI,22.27903255,114.18816884,837431.0999999996,815573.6999999993
HO YAM CARE AND ATTENTION HOME FOR THE ELDERLY (SPONSORED BY SIK SIK YUEN) [RCHE] / HO YAM CARE AND ATTENTION HOME FOR THE ELDERLY (SPONSORED BY SIK SIK YUEN)'LOVE@HOME' ELDERLY COMMUNITY CARE SERVICES [CCSV RSP],Location of Residential Care Homes for the Elderly in Hong Kong,WONG TAI SIN,22.3430857,114.1974642,838388.5999999996,822666.3000000007
KA SHUI GARDEN NURSING HOME FOR THE ELDERLY,Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.33073077,114.14881214,833376.7999999998,821298.9000000004
PINE RESIDENCE,Location of Residential Care Homes for the Elderly in Hong Kong,WAN CHAI,22.27672106,114.18067793,836659.2000000002,815317.9000000004
HONG PAK HIN NURSING HOME,Location of Residential Care Homes for the Elderly in Hong Kong,WAN CHAI,22.27698285,114.170024,835561.5999999996,815346.6999999993
LONGEVITY PALACE (SENIOR LODGE) LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,WAN CHAI,22.27724485,114.17997932,836587.0,815375.4000000004
ALPINE NURSING HOME,Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.3387869,114.15431457,833943.5,822190.1999999993
THE GRACE OF THE PINE ELDERLY HOME LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,SHAM SHUI PO,22.33932862,114.15351848,833861.0999999996,822250.0
FOOK ON HOME FOR THE AGED,Location of Residential Care Homes for the Elderly in Hong Kong,WAN CHAI,22.27745242,114.18405461,837007.5,815398.6999999993
FRIENDLY HOUSE FOR THE AGED LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,TUEN MUN,22.39536145,113.97696664,815682.7624000004,828469.3059999999
SING TAK ELDERLY HOME,Location of Residential Care Homes for the Elderly in Hong Kong,EASTERN,22.2790436,114.2258657,841316.4000000004,815575.5999999996
HEALTHWAY CARE AND ATTENTION HOME,Location of Residential Care Homes for the Elderly in Hong Kong,EASTERN,22.28957029,114.19816472,838461.5,816740.9000000004
NINNA HOME,Location of Residential Care Homes for the Elderly in Hong Kong,WAN CHAI,22.27793112,114.1714406,835707.9000000004,815451.8000000007
SHUI ON NURSING CENTRE (HING WAH) COMPANY LIMITED,Location of Residential Care Homes for the Elderly in Hong Kong,EASTERN,22.26324,114.23519,842278.5999999996,813826.3000000007
