Name_EN,Address_EN,Latitude,Longitude,Facility_Type
San Po Kong Elderly Health Centre,"2/F, Robert Black Health Centre, 600 Prince Edward Road East, San Po Kong, Kowloon",22.33249306,114.19562804,ClinicsHealthCentresundertheDepartmentofHealth
Wong Siu Ching Maternal & Child Health Centre,"1/F, Wong Siu Ching Clinic, 1 Po Wu Lane, Tai Po.",22.45016181,114.16808228,ClinicsHealthCentresundertheDepartmentofHealth
Sai Wan Ho Maternal & Child Health Centre,"2/F, Sai Wan Ho Health Centre, 28 Tai Hong Street, Sai Wan Ho.",22.28458931,114.22382019,ClinicsHealthCentresundertheDepartmentofHealth
Yung Fung Shee Chest Clinic,"Yung Fung Shee Memorial Centre, 79 Cha Kwo Ling Road, Kowloon",22.30773324,114.22886491,ClinicsHealthCentresundertheDepartmentofHealth
Wu York Yu Methadone Clinic,"55 Sheung Fung Street, Tze Wan Shan",22.34691495,114.19749389,ClinicsHealthCentresundertheDepartmentofHealth
Kowloon City Maternal & Child Health Centre,"4/F Kowloon City Health Centre,Kowloon City Government Offices,42 Bailey Street, Hung Hom, Kowloon",22.31194663,114.189737,ClinicsHealthCentresundertheDepartmentofHealth
Tsuen Wan Maternal & Child Health Centre,"9/F, Block C, Yan Chai Hospital, 7–11 Yan Chai Street, Tsuen Wan",22.36994304,114.119472,ClinicsHealthCentresundertheDepartmentofHealth
Kwun Tong Methadone Clinic,"463 Kwun Tong Road, Kwun Tong",22.31246697,114.226351,ClinicsHealthCentresundertheDepartmentofHealth
Ho Man Tin Methadone Clinic,"50 Princess Margaret Road, Ho Man Tin",22.31606781,114.17734994,ClinicsHealthCentresundertheDepartmentofHealth
Kwun Tong Maternal & Child Health Centre,"LG Floor, Kwun Tong Community Health Centre Building, 60 Hip Wo Street, Kwun Tong, Kowloon",22.31491345,114.22604322,ClinicsHealthCentresundertheDepartmentofHealth
Tung Chung Maternal & Child Health Centre,"G/F, Tung Chung Health Centre, 6 Fu Tung Street, Tung Chung, Lantau Island.",22.28885346,113.94352614,ClinicsHealthCentresundertheDepartmentofHealth
Kwun Tong Dental Clinic,"LG/F, Kwun Tong Community Health Centre Building, 60 Hip Woo Street, Kwun Tong, Kowloon",22.31488634,114.22610145,ClinicsHealthCentresundertheDepartmentofHealth
Chai Wan Special Assessment Centre,"3/F Chai Wan Health Centre, 1 Hong Man Street, Chai Wan",22.2652965,114.23426305,ClinicsHealthCentresundertheDepartmentofHealth
Chai Wan Student Health Service Centre,"1/F Chai Wan Health Centre, 1 Hong Man Street, Chai Wan",22.2652965,114.23426305,ClinicsHealthCentresundertheDepartmentofHealth
Tung Chung Elderly Health Centre,"1/F, Block 2, Tung Chung Health Centre, 6 Fu Tung Street, Tung Chung, Lantau Island",22.28885346,113.94352614,ClinicsHealthCentresundertheDepartmentofHealth
Kowloon City Dental Clinic,"3/F, Kowloon City Health Centre, Kowloon City Government Offices, 42 Bailey Street, Hung Hom, Kowloon",22.3118771,114.18972437,ClinicsHealthCentresundertheDepartmentofHealth
Wan Chai Female Social Hygiene Clinic,"7/F, Tang Chi Ngong Specialist Clinic, 284 Queen's Road East, Wan Chai, Hong Kong",22.27524036,114.17818424,ClinicsHealthCentresundertheDepartmentofHealth
Ma On Shan Maternal & Child Health Centre,"1/F, Ma On Shan Health Centre, 609 Sai Sha Road, Ma On Shan.",22.42507401,114.23494048,ClinicsHealthCentresundertheDepartmentofHealth
Tang Chi Ngong Maternal & Child Health Centre,"4/F, Tang Chi Ngong Specialist Clinic, 284 Queen's Road East, Wan Chai.",22.27524036,114.17818424,ClinicsHealthCentresundertheDepartmentofHealth
Wan Chai Female Social Hygiene Clinic (Dermatological Service),"7/F, Tang Chi Ngong Specialist Clinic, 284 Queen's Road East, Wan Chai, Hong Kong",22.27524036,114.17818424,ClinicsHealthCentresundertheDepartmentofHealth
