Name,Type,District,Lat_WGS84,Lon_WGS84,Easting_HK1980,Northing_HK1980
Tai O Dental Clinic,Clinics / Health Centres under the Department of Health,TAI O,22.25572832,113.8579363,803417.2999999998,813018.4000000004
Tsz Wan Shan Wu York Yu Student Health Service Centre,Clinics / Health Centres under the Department of Health,WONG TAI SIN,22.34691495,114.1974939,838392.0,823091.0
Tai Po Student Health Service Centre,Clinics / Health Centres under the Department of Health,TAI PO,22.45401767,114.1657698,835125.0,834951.0
Kowloon Bay Student Health Service Centre,Clinics / Health Centres under the Department of Health,KWUN TONG,22.32862653,114.2071007,839382.0,821066.0
Sha Tin (Tai Wai) Methadone Clinic,Clinics / Health Centres under the Department of Health,SHA TIN,22.37752063,114.1841083,837013.0,826480.0
Sai Kung Chest Clinic,Clinics / Health Centres under the Department of Health,SAI KUNG,22.38165579,114.2721516,846080.0,826941.0
Sai Ying Pun X-ray Survey Centre,Clinics / Health Centres under the Department of Health,CENTRAL AND WESTERN,22.28643525,114.1450365,832987.0,816394.0
Sai Ying Pun Chest Clinic,Clinics / Health Centres under the Department of Health,CENTRAL AND WESTERN,22.28643525,114.1450365,832987.0,816394.0
Radio-diagnostic & Imaging Centre (Fanling),Clinics / Health Centres under the Department of Health,NORTH,22.49654684,114.1387885,832349.0,839661.0
Kowloon Bay Integrated Treatment Centre,Clinics / Health Centres under the Department of Health,KWUN TONG,22.32862653,114.2071007,839369.5,821085.1999999993
Lek Yuen Elderly Health Centre,Clinics / Health Centres under the Department of Health,SHA TIN,22.38377826,114.1918187,837806.9000000004,827183.0999999996
Wan Chai Elderly Health Centre,Clinics / Health Centres under the Department of Health,WAN CHAI,22.27738058,114.1726632,835849.0999999996,815388.1999999993
Shau Kei Wan Elderly Health Centre,Clinics / Health Centres under the Department of Health,EASTERN,22.27648746,114.2283391,841572.7999999998,815296.4000000004
Tseung Kwan O Elderly Health Centre,Clinics / Health Centres under the Department of Health,SAI KUNG,22.32526691,114.2596018,844762.2999999998,820682.5
Yau Ma Tei Elderly Health Centre,Clinics / Health Centres under the Department of Health,YAU TSIM MONG,22.30961978,114.1692654,835491.2000000002,818953.9000000004
Sham Shui Po Methadone Clinic,Clinics / Health Centres under the Department of Health,SHAM SHUI PO,22.3266961,114.1616643,834701.0,820852.0
Wanchai Chest Clinic,Clinics / Health Centres under the Department of Health,WAN CHAI,22.27367806,114.1748853,836063.0,814981.0
Shaukiwan Chest Clinic,Clinics / Health Centres under the Department of Health,EASTERN,22.27648746,114.2283391,841572.0,815293.0
East Kowloon Chest Clinic,Clinics / Health Centres under the Department of Health,WONG TAI SIN,22.33976112,114.207705,839444.0,822299.0
Tin Shui Wai Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,YUEN LONG,22.45454584,114.0014445,818211.0,835020.0
Tsuen Wan Elderly Health Centre,Clinics / Health Centres under the Department of Health,TSUEN WAN,22.37055568,114.1155394,829984.4000000004,825705.5999999996
Kowloon City Elderly Health Centre,Clinics / Health Centres under the Department of Health,KOWLOON CITY,22.33019119,114.1890369,837532.7000000002,821234.9000000004
Aberdeen Elderly Health Centre,Clinics / Health Centres under the Department of Health,SOUTHERN,22.24995324,114.156337,834156.2000000002,812355.9000000004
Yuen Long Elderly Health Centre,Clinics / Health Centres under the Department of Health,YUEN LONG,22.44101701,114.0270978,820845.5999999996,833513.5
Nam Shan Elderly Health Centre,Clinics / Health Centres under the Department of Health,SHAM SHUI PO,22.33412887,114.1706813,835647.9000000004,821700.4000000004
